start_id:START_ID,end_id:END_ID,type:TYPE
Framework_SASB_BoardIndependencePercentage,BoardIndependence,MAPS_TO
Framework_SASB_CommunityInvestments,Standard_SASB,BELONGS_TO
Framework_SASB_CommunityInvestments,CSRSpending,MAPS_TO
Framework_ESRS_ESRS E1-6 Scope 1 GHG Emissions,Standard_ESRS,BELONGS_TO
Framework_ESRS_ESRS E1-6 Scope 1 GHG Emissions,Scope1Emission,MAPS_TO
Framework_ESRS_ESRS E1-6 Scope 2 GHG Emissions,Standard_ESRS,BELONGS_TO
Framework_ESRS_ESRS E1-6 Scope 2 GHG Emissions,Scope2Emission,MAPS_TO
Framework_ESRS_ESRS E1-5 Renewable Energy Consumption,Standard_ESRS,BELONGS_TO
Framework_ESRS_ESRS E1-5 Renewable Energy Consumption,RenewableEnergy,MAPS_TO
Framework_ESRS_ESRS E3-1 Water Withdrawal,Standard_ESRS,BELONGS_TO
Framework_ESRS_ESRS E3-1 Water Withdrawal,WaterWithdrawal,MAPS_TO
Framework_ESRS_ESRS E5-5 Waste Generated,Standard_ESRS,BELONGS_TO
Framework_ESRS_ESRS E5-5 Waste Generated,WasteGenerated,MAPS_TO
Framework_ESRS_ESRS S1-9 Gender Diversity,Standard_ESRS,BELONGS_TO
Framework_ESRS_ESRS S1-9 Gender Diversity,WomenEmployees,MAPS_TO
Framework_ESRS_ESRS G1-1 Board Composition,Standard_ESRS,BELONGS_TO
Framework_ESRS_ESRS G1-1 Board Composition,BoardIndependence,MAPS_TO
Framework_ESRS_ESRS S3 CSR Activities,Standard_ESRS,BELONGS_TO
Framework_ESRS_ESRS S3 CSR Activities,CSRSpending,MAPS_TO
Framework_ISSB_ISSB S2 Scope 1 GHG Emissions,Standard_ISSB,BELONGS_TO
Framework_ISSB_ISSB S2 Scope 1 GHG Emissions,Scope1Emission,MAPS_TO
Framework_ISSB_ISSB S2 Scope 2 GHG Emissions,Standard_ISSB,BELONGS_TO
Framework_ISSB_ISSB S2 Scope 2 GHG Emissions,Scope2Emission,MAPS_TO
Framework_ISSB_ISSB S2 Renewable Energy Percentage,Standard_ISSB,BELONGS_TO
Framework_ISSB_ISSB S2 Renewable Energy Percentage,RenewableEnergy,MAPS_TO
Framework_ISSB_ISSB S1 Water Security Disclosures,Standard_ISSB,BELONGS_TO
Framework_ISSB_ISSB S1 Water Security Disclosures,WaterWithdrawal,MAPS_TO
Framework_ISSB_ISSB S1 Circularity Disclosures,Standard_ISSB,BELONGS_TO
Framework_ISSB_ISSB S1 Circularity Disclosures,WasteGenerated,MAPS_TO
Framework_ISSB_ISSB S1 Diversity Metrics,Standard_ISSB,BELONGS_TO
Framework_ISSB_ISSB S1 Diversity Metrics,WomenEmployees,MAPS_TO
Framework_ISSB_ISSB S1 Governance Disclosures,Standard_ISSB,BELONGS_TO
Framework_ISSB_ISSB S1 Governance Disclosures,BoardIndependence,MAPS_TO
Framework_ISSB_ISSB S1 Economic Disclosures,Standard_ISSB,BELONGS_TO
Framework_ISSB_ISSB S1 Economic Disclosures,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_8d27423fc9be,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_8d27423fc9be,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_8d27423fc9be,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_8d27423fc9be,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_8d27423fc9be,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_6744ba632cc6,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_6744ba632cc6,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_6744ba632cc6,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_6744ba632cc6,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_6744ba632cc6,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_30e9d1d85621,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_30e9d1d85621,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_30e9d1d85621,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_30e9d1d85621,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_30e9d1d85621,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_56a5e9386f13,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_56a5e9386f13,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_56a5e9386f13,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_56a5e9386f13,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_56a5e9386f13,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ba341462769f,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ba341462769f,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ba341462769f,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ba341462769f,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ba341462769f,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cbcc5e19e005,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cbcc5e19e005,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cbcc5e19e005,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cbcc5e19e005,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cbcc5e19e005,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9ad4cedbd456,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9ad4cedbd456,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9ad4cedbd456,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9ad4cedbd456,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9ad4cedbd456,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f46f9d6b8ac3,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f46f9d6b8ac3,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f46f9d6b8ac3,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f46f9d6b8ac3,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f46f9d6b8ac3,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_d2f2951d55ca,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_d2f2951d55ca,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_d2f2951d55ca,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_d2f2951d55ca,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_d2f2951d55ca,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b32048f435b4,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b32048f435b4,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b32048f435b4,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b32048f435b4,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b32048f435b4,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_a4b3a1711546,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_a4b3a1711546,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_a4b3a1711546,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_a4b3a1711546,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_a4b3a1711546,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9a340dfc6923,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9a340dfc6923,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9a340dfc6923,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9a340dfc6923,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9a340dfc6923,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c57dd2a2b78d,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c57dd2a2b78d,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c57dd2a2b78d,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c57dd2a2b78d,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c57dd2a2b78d,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_05925b991e2e,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_05925b991e2e,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_05925b991e2e,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_05925b991e2e,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_05925b991e2e,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c74b0f9d1235,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c74b0f9d1235,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c74b0f9d1235,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c74b0f9d1235,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c74b0f9d1235,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb0cb35eba5e,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb0cb35eba5e,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb0cb35eba5e,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb0cb35eba5e,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb0cb35eba5e,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fcec295bd1c7,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fcec295bd1c7,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fcec295bd1c7,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fcec295bd1c7,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fcec295bd1c7,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ccb492413380,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ccb492413380,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ccb492413380,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ccb492413380,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ccb492413380,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4f3150eac24b,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4f3150eac24b,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4f3150eac24b,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4f3150eac24b,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4f3150eac24b,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_106db6e600b1,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_106db6e600b1,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_106db6e600b1,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_106db6e600b1,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_106db6e600b1,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b18c84428363,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b18c84428363,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b18c84428363,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b18c84428363,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b18c84428363,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_44ae316feeab,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_44ae316feeab,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_44ae316feeab,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_44ae316feeab,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_44ae316feeab,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_239913a3925c,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_239913a3925c,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_239913a3925c,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_239913a3925c,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_239913a3925c,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_7ac17790c0b2,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_7ac17790c0b2,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_7ac17790c0b2,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_7ac17790c0b2,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_7ac17790c0b2,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f029919acc60,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f029919acc60,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f029919acc60,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f029919acc60,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f029919acc60,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_375f9f97476e,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_375f9f97476e,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_375f9f97476e,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_375f9f97476e,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_375f9f97476e,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ec445c2bcabb,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ec445c2bcabb,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ec445c2bcabb,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ec445c2bcabb,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ec445c2bcabb,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_91411137244d,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_91411137244d,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_91411137244d,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_91411137244d,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_91411137244d,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fc495309ab7b,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fc495309ab7b,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fc495309ab7b,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fc495309ab7b,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fc495309ab7b,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb9297d526fd,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb9297d526fd,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb9297d526fd,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb9297d526fd,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb9297d526fd,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_96b44cef94f0,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_96b44cef94f0,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_96b44cef94f0,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_96b44cef94f0,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_96b44cef94f0,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_42978db726df,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_42978db726df,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_42978db726df,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_42978db726df,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_42978db726df,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_0cc691d0bc2d,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_0cc691d0bc2d,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_0cc691d0bc2d,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_0cc691d0bc2d,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_0cc691d0bc2d,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9c454b0a6ea9,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9c454b0a6ea9,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9c454b0a6ea9,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9c454b0a6ea9,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9c454b0a6ea9,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4eec12638c5e,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4eec12638c5e,Year_2025,DISCLOSED_IN
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4eec12638c5e,Category_Social,BELONGS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4eec12638c5e,Standard_BRSR,MAPS_TO
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4eec12638c5e,CSRSpending,MAPS_TO
RELIANCE,Year_2025,REPORTS
RELIANCE,Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_40b48a1af530,HAS_METRIC
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_40b48a1af530,Year_2025,DISCLOSED_IN
